"BDIV", "DIVERSIFIED BANKS"
"TRUC", "TRUCKERS"
"UTTE", "TELECOMMUNICATION UTILITIES"
"COMT", "COMPUTER TECHNOLOGY"
"APRT", "AUTO PARTS"
"REAL", "REAL ESTATE"
"CONS", "CONSTRUCTION"
"HCFC", "HEALTH CARE FACILITIES"
"HOTL", "HOTELS & MOTELS"
"PHOT", "PHOTOGRAPHY"
"OILI", "INTEGRATED OIL"
"TOBA", "TOBACCO"
"HOME", "HOME BUILDING"
"FNRL", "FUNERAL PARLORS & CEMETERIES"
"SIGM", "SCIENTIFIC INSTRUMENTS GUAGES & METERS"
"PUBL", "PUBLISHING"
"RAIL", "RAILROADS"
"AENR", "ALTERNATIVE ENERGY"
"HCMI", "HEALTH CARE MISCELLANEOUS"
"PRNT", "PRINT & COPYING SERVICES"
"UTWR", "WATER UTILITIES"
"RLEQ", "RAILROAD EQUIPMENT"
"N.A.", "NOT CLASSIFIED"
"BCLI", "BUILDING CLIMATE CONTROL"
"SIEL", "SCIENCTIFIC INSTRUMENTS ELECTRICAL"
"CTEC", "COMMUNICATION TECHNOLOGY"
"CELC", "CONSUMER ELECTRONICS"
"OWES", "OIL WELL EQUIPMENT & SERVICES"
"ELEC", "ELECTRONICS"
"VEND", "VENDING & CATERING SERVICES"
"INSL", "LIFE INSURANCE"
"MTRN", "MISCELLANEOUS TRANSPORTATION"
"REDI", "DIVERSIFIED REAL ESTATE"
"ITRD", "INTERNATIONAL TRADE & LOGISTICS"
"OFFS", "OFFSHORE DRILLING"
"FBPS", "FORMS & BULK PRINT SERVICES"
"SICF", "SCIENTIFIC INSTRUMENTS CONTROL & FILTER"
"BEVB", "BREWERS AND BEVERAGE DISTRIBUTION"
"COSM", "COSMETICS"
"FERT", "FERTILIZERS"
"ENVM", "ENVIRONMENT MAINTENANCE & SECURITY"
"HCMS", "HEALT CARE MANAGEMENT SERVICES"
"MRDI", "DIVERSIFIED MORTGAGE REIT"
"RCVB", "RECREATIONAL VEHICLES & BOATS"
"PRTE", "PRODUCTION TECHNOLOGY EQUIPMENT"
"BIOT", "BIOTECHNOLOGY"
"MEQU", "MEDICAL EQUIPMENT"
"EDUS", "EDUCATION SERVICES"
"CHMD", "DIVERSIFIED CHEMICALS"
"BOHR", "BACK OFFICE HR & CONSULTANT"
"REST", "RESTAURANTS"
"BEVS", "SOFT DRINKS"
"DGGR", "DRUG & GROCERY CHAINS"
"ADVA", "ADVERTIING AGENCIES"
"MAIN", "INDUSTRIAL MACHINERY"
"OILR", "OIL REFINING & MARKETING"
"UTGD", "GAS DISTRIBUTION UTILITIES"
"MACN", "CONSTRUCTION & HANDLING MACHINERY"
"DMFG", "DIVERSIFIED MANUFACTURING"
"BMAT", "BUILDING MATERIALS"
"TCHM", "MISCELLANEOUS TECHNOLOGY"
"STOR", "STORAGE FACILITIES"
"ERDI", "DIVERSITY EQUITY REIT"
"GMNG", "CASINOS & GAMBLING"
"CEMT", "CEMENT"
"STEL", "STEEL"
"AERO", "AEROSPACE"
"OSPE", "OFFICE SUPPLIES & EQUIPMENT"
"TOYS", "TOYS"
"MASP", "SPECIALTY MACHINERY"
"INPC", "PROPERTY & CASUALTY INSURANCE"
"PLAS", "PLASTICS"
"AUTO", "AUTO MOBILES"
"MAAG", "AGRICULTURAL MACHINERY"
"CTVS", "CABLE TELEVISION SERVICES"
"ERSP", "SPECIALTY REIT"
"BRWP", "ROOFS WALLS & PLUMBING"
"RCON", "CONSUMER RENTAL & LEASE SERVICES"
"SUGR", "SUGAR"
"MANH", "MANUFACTURED HOUSING"
"GOLD", "GOLD"
"LEIS", "LEISURE"
"CSRL", "COMMERCIAL SERVICES RENTAL & LEASING"
"OILC", "CRUDE OIL PRODUCERS"
"MRRE", "RESIDENTIAL MORTGAGE REIT"
"ENEQ", "ENERGY EQUIPMENT"
"DMAT", "DIVERSIFIED MATERIALS AND PROCCESSING"
"SYFB", "SYNTHETIC FIBERS & CHEMICALS"
"ERRE", "RESIDENTIAL REIT"
"ASMC", "ASSET MANAGEMENT & CUSTODIAN"
"SIPC", "SCIENTIFIC INSTRUMENTS POLLUTION CONTROL"
"DRET", "DIVERSIFIED RETAIL"
"LUXU", "LUXURY ITEMS"
"MFAB", "METAL FABRICATING"
"CLND", "CONSUMER LENDING"
"APPL", "HOUSEHOLD APPLIANCES"
"AIRT", "AIR TRANSPORT"
"ERLO", "LODGING REIT"
"ERIF", "INFRASTRUCTURE EQUITY REIT"
"ERTI", "TIMBER REIT"
"MTLD", "DIVERSIFIED METALS & MINERALS"
"DFIN", "DIVERSIFIED FINANCIAL SERVICES"
"UTEL", "ELECTRICAL UTILITIES"
"ECMP", "ELECTRONIC COMPONENTS"
"CSVM", "MISCELLANEOUS CONSUMER SERVICES"
"CONT", "CONTAINERS & PACKAGING"
"COPR", "COPPER"
"CHMS", "SPECIALTY CHEMICALS"
"BRTV", "RADIO & TELEVISION BROADCASTERS"
"PERS", "PERSONAL CARE"
"PAPR", "PAPER"
"MAEN", "ENGINES"
"FRGR", "FRUIT & GRAIN PROCESSING"
"ERST", "STORAGE REIT"
"COAL", "COAL"
"DMED", "DIVERSIFIED MEDIA"
"CSVC", "COMMERCIAL SERVICES"
"MSVS", "MEDICAL SERVICES"
"PDUR", "MISCELLANEOUS PRODUCER DURABLES"
"AGRI", "AGRICULTURE FISH & RANCH"
"DRUG", "PHARMACEUTICALS"
"ERRT", "RETAIL REIT"
"COMS", "COMPUTER SERVICES SOFTWARE & SYSTEMS"
"SEMI", "SEMINCONDUCTORS & COMPUTERS"
"CFIN", "COMMERCIAL FINANCE & MORTGAGE"
"HPRD", "HOUSEHOLD EQUIPMENT"
"HCSV", "HEALT CARE SERVICES"
"RESV", "REAL ESTATE SERVICES"
"SRET", "SPECIALTY RETAIL"
"EENT", "ELECTRONIC ENTERTAINMENT"
"PTCT", "PAINSTS & COATINGS"
"ASVC", "AUTO SERVICES"
"ERID", "INDUSTRIAL EQUITY REIT"
"ENTR", "ENTERTAINMENT"
"FRST", "FOREST PRODUCTS"
"MICS", "MISCELLANEOUS CONSUMER STAPLES"
"MATL", "TOOLS"
"GASP", "GAS PIPELINES"
"TEEQ", "TELECOMMUNICATIONS EQUIPMENT"
"HFUR", "HOUSEHOLD FURNISHINGS"
"PTEQ", "POWER TRANSMISSION EQUIPMENT"
"GLAS", "GLASS"
"UTMI", "MISCELLANEOUS UTILITIES"
"TXTP", "TEXTILE PRODUCTS"
"FIDS", "FINANCIAL DATA & SYSTEMS"
"ENGC", "ENGINEERING & CONTRACTING"
"BSAV", "SAVINGS & MORTGAGE BANKS"
"FOOD", "FOOD"
"TXTA", "TEXTILE APPAREL & SHOES"
"SHIP", "SHIPPING"
"INML", "MULTI-LINE INSURANCE"
"MINS", "MEDICAL & DENTAL INSTRUMENTS"
"CMVP", "COMMERCIAL VEHICLES & PARTS"
"ERHC", "HEALTH CARE EQUITY REIT"
"PREC", "PRECIOUS METALS & MINERALS"
"EROF", "OFFICE REIT"
"SBSV", "SECURITIES BROKERAGE"
"REIT", "REAL ESTATE INVESTMENT TRUSTS"
"REHD", "REAL ESTATE HOLDING & DEVELOPMENT"
"MRCO", "COMMERCIAL MORTGAGE REITS"
"ALUM", "ALUMINUM"