STRATEGY;ISIN
ALL_FR_BIG_MARKET_CAP;FR0000131906
ALL_FR_BIG_MARKET_CAP;FR0000121147
ALL_FR_BIG_MARKET_CAP;FR0012435121
ALL_FR_BIG_MARKET_CAP;FR0000120321
ALL_FR_BIG_MARKET_CAP;FR0000121709
ALL_FR_BIG_MARKET_CAP;FR0010451203
ALL_FR_BIG_MARKET_CAP;FR0000121485
ALL_FR_BIG_MARKET_CAP;FR0000121014
ALL_FR_BIG_MARKET_CAP;FR0000130403
ALL_FR_BIG_MARKET_CAP;FR0000120404
ALL_FR_BIG_MARKET_CAP;FR0010908533
ALL_FR_BIG_MARKET_CAP;FR0000127771
ALL_FR_BIG_MARKET_CAP;FR0000051807
ALL_FR_BIG_MARKET_CAP;FR0000130577
ALL_FR_BIG_MARKET_CAP;FR0000120271
ALL_FR_BIG_MARKET_CAP;FR0000131104
ALL_FR_BIG_MARKET_CAP;FR0000130809
ALL_FR_BIG_MARKET_CAP;FR0000045072
ALL_FR_BIG_MARKET_CAP;FR0000120628
ALL_FR_BIG_MARKET_CAP;FR0010411983
ALL_FR_BIG_MARKET_CAP;FR0000121121
ALL_FR_BIG_MARKET_CAP;FR0010040865
ALL_FR_BIG_MARKET_CAP;FR0000121964
ALL_FR_BIG_MARKET_CAP;FR0000120578
ALL_FR_BIG_MARKET_CAP;FR0010259150
ALL_FR_BIG_MARKET_CAP;FR0000184798
ALL_FR_BIG_MARKET_CAP;FR0000121667
ALL_FR_BIG_MARKET_CAP;FR0000125007
ALL_FR_BIG_MARKET_CAP;FR0010313833
ALL_FR_BIG_MARKET_CAP;FR0000120073
ALL_FR_BIG_MARKET_CAP;FR0000052292
ALL_FR_BIG_MARKET_CAP;FR0000121220
ALL_FR_BIG_MARKET_CAP;FR0012757854
ALL_FR_BIG_MARKET_CAP;FR0006174348
ALL_FR_BIG_MARKET_CAP;FR0000121972
ALL_FR_BIG_MARKET_CAP;FR0000125486
ALL_FR_BIG_MARKET_CAP;FR0010220475
ALL_FR_BIG_MARKET_CAP;FR0000120503
ALL_FR_BIG_MARKET_CAP;FR0000130452
ALL_FR_BIG_MARKET_CAP;FR0000121204
ALL_FR_BIG_MARKET_CAP;FR0010307819
ALL_FR_BIG_MARKET_CAP;FR0010340141
ALL_FR_BIG_MARKET_CAP;FR0000121329
ALL_FR_BIG_MARKET_CAP;FR0010533075
ALL_FR_BIG_MARKET_CAP;FR0000073272
ALL_FR_BIG_MARKET_CAP;FR0000039299
ALL_FR_BIG_MARKET_CAP;FR0000120644
ALL_FR_BIG_MARKET_CAP;FR0000120693
ALL_FR_BIG_MARKET_CAP;FR0000130395
ALL_FR_BIG_MARKET_CAP;FR0000120172
ALL_FR_BIG_MARKET_CAP;FR0011981968
ALL_FR_BIG_MARKET_CAP;FR0000071946
ALL_FR_BIG_MARKET_CAP;FR0000125338
ALL_FR_BIG_MARKET_CAP;FR0000051732
ALL_FR_BIG_MARKET_CAP;FR0000050809
ALL_FR_BIG_MARKET_CAP;FR0000054470
ALL_FR_BIG_MARKET_CAP;FR0010208488
ALL_FR_BIG_MARKET_CAP;FR0000133308
ALL_FR_BIG_MARKET_CAP;FR0010242511
ALL_FR_BIG_MARKET_CAP;FR0000124141
TOP_20_FR_ESG;FR0000120321
TOP_20_FR_ESG;FR0000120628
TOP_20_FR_ESG;FR0010040865
TOP_20_FR_ESG;FR0011981968
TOP_20_FR_ESG;FR0010307819
TOP_20_FR_ESG;FR0000120644
TOP_20_FR_ESG;FR0000121972
TOP_20_FR_ESG;FR0000121220
TOP_20_FR_ESG;FR0000120693
TOP_20_FR_ESG;FR0000120172
TOP_20_FR_ESG;FR0000131104
TOP_20_FR_E;FR0011981968
TOP_20_FR_E;FR0000120321
TOP_20_FR_E;FR0010040865
TOP_20_FR_E;FR0010220475
TOP_20_FR_E;FR0010242511
TOP_20_FR_E;FR0000120644
TOP_20_FR_E;FR0010340141
TOP_20_FR_E;FR0000050809
TOP_20_FR_E;FR0000121329
TOP_20_FR_E;FR0010307819
TOP_20_FR_E;FR0000121220
TOP_20_FR_S;FR0000120321
TOP_20_FR_S;FR0000133308
TOP_20_FR_S;FR0000120628
TOP_20_FR_S;FR0000121972
TOP_20_FR_S;FR0000045072
TOP_20_FR_S;FR0000121220
TOP_20_FR_S;FR0000131104
TOP_20_FR_S;FR0000120578
TOP_20_FR_S;FR0010307819
TOP_20_FR_S;FR0000120271
TOP_20_FR_S;FR0000130809
TOP_20_FR_G;FR0000120628
TOP_20_FR_G;FR0000120321
TOP_20_FR_G;FR0000120644
TOP_20_FR_G;FR0010040865
TOP_20_FR_G;FR0010307819
TOP_20_FR_G;FR0012757854
TOP_20_FR_G;FR0010313833
TOP_20_FR_G;FR0000120693
TOP_20_FR_G;FR0010451203
TOP_20_FR_G;FR0000120404
TOP_20_FR_G;FR0000120172
FINANCIAL_SERVICES;FR0000121121
FINANCIAL_SERVICES;FR0000131104
FINANCIAL_SERVICES;FR0000130809
FINANCIAL_SERVICES;FR0000045072
FINANCIAL_SERVICES;FR0010040865
FINANCIAL_SERVICES;FR0000121964
FINANCIAL_SERVICES;FR0000120628
FINANCIAL_SERVICES;FR0010411983
FINANCIAL_SERVICES;FR0011981968
TECHNOLOGY;FR0000051732
TECHNOLOGY;FR0011981968
TECHNOLOGY;FR0000125338
TECHNOLOGY;FR0000050809
TECHNOLOGY;FR0000071946
TECHNOLOGY;FR0000054470
BEST_OF_CLASS_ESG;FR0000120321
BEST_OF_CLASS_ESG;FR0000120644
BEST_OF_CLASS_ESG;FR0000120271
BEST_OF_CLASS_ESG;FR0000120628
BEST_OF_CLASS_ESG;FR0000120578
BEST_OF_CLASS_ESG;FR0010313833
BEST_OF_CLASS_ESG;FR0000052292
BEST_OF_CLASS_ESG;FR0010307819
BEST_OF_CLASS_ESG;FR0011981968
BEST_OF_CLASS_ESG;FR0010208488
CONSUMER_DISCRETIONARY;FR0000120321
CONSUMER_DISCRETIONARY;FR0000121709
CONSUMER_DISCRETIONARY;FR0010451203
CONSUMER_DISCRETIONARY;FR0000121485
CONSUMER_DISCRETIONARY;FR0000121014
CONSUMER_DISCRETIONARY;FR0000130403
CONSUMER_DISCRETIONARY;FR0012435121
CONSUMER_DISCRETIONARY;FR0000120644
LUXE;FR0000130403
LUXE;FR0000052292
LUXE;FR0000121485
LUXE;FR0000121014
ENERGY_AUTO_BREWERS;FR0000131906
ENERGY_AUTO_BREWERS;FR0000130395
ENERGY_AUTO_BREWERS;FR0000120271
ENERGY_AUTO_BREWERS;FR0012757854
ENERGY_AUTO_BREWERS;FR0000121972
ENERGY_AUTO_BREWERS;FR0000073272
ENERGY_AUTO_BREWERS;FR0000120693
ENERGY_AUTO_BREWERS;FR0010208488
ENERGY_AUTO_BREWERS;FR0000130452
ENERGY_AUTO_BREWERS;FR0010242511
ENERGY_AUTO_BREWERS;FR0000120503
ENERGY_AUTO_BREWERS;FR0010220475
