"CFCS", "CONSUMER FINANCIAL & CREDIT SERVICES"
"TRAN", "TRANSPORTATION & FREIGHT"
"UTIL", "UTILITIES"
"CHEM", "CHEMICALS & SYNTHETICS"
"ELEC", "ELECTRONICS"
"MANU", "MANUFACTURING & PRODUCTION"
"BANK", "BANKS"
"BMAT", "BUILDING MATERIALS"
"HLTH", "HEALTH CARE SERVICES"
"INDU", "INDUSTRIAL MATERIALS & PROCCESSING"
"SCII", "SCIENTIFIC INSTRUMENTS & SERVICES"
"ENER", "ENERGY"
"AUTO", "AUTO MOBILES"
"INVB", "INVESTMENT BANKING & BROKERAGE"
"LEIS", "LEISURE"
"PDGS", "PERSONAL CARE DRUGS & GROCERY"
"CSVC", "COMMERCIAL SERVICES"
"METL", "METALS & MINERALS"
"DRUG", "PHARMACEUTICALS"
"RETL", "RETAIL"
"CNSS", "CONSUMER SERVICES"
"TELE", "TELECOMMUNICATIONS"
"NREN", "NON-RENEWABLE ENERGY"
"FOOD", "FOOD"
"REIT", "REAL ESTATE INVESTMENT TRUSTS"
"MEDI", "MEDIA"
"MDEQ", "MEDICAL EQUIPMENT & SERVICES"